file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions,,,,
human_1.py,human,Human,67.98,3.5,4,24,1.5,36,14,10,10,10,3,3,1,,,,
human_10.py,human,Human,63.71,5.5,6,66.61,3.75,249.78,11,11,11,11,5,5,1,,,,
human_13.py,human,Human,42.33,9.33,15,524.99,7.89,4144.63,53,45,45,45,9,15,2,,,CC,6.833333333
human_16.py,human,Human,56.53,6.5,7,122.98,5.54,681.15,17,17,19,17,6,6,1,,,,
human_19.py,human,Human,67.98,3.5,4,24,1.5,36,14,10,10,10,3,3,1,,,,
human_22.py,human,Human,87.88,2.5,3,22.46,1.88,42.11,11,8,10,8,2,2,1,,,MI,63.23
human_25.py,human,Human,60.95,5.5,6,77.71,3.11,241.76,17,14,14,14,5,5,1,,,,
human_28.py,human,Human,63.71,5.5,6,66.61,3.75,249.78,11,11,11,11,5,5,1,,,LOC,20.5
human_31.py,human,Human,42.33,9.33,15,524.99,7.89,4144.63,53,45,45,45,9,15,2,,,,
human_34.py,human,Human,56.53,6.5,7,122.98,5.54,681.15,17,17,19,17,6,6,1,,,,
human_37.py,human,Human,67.98,3.5,4,24,1.5,36,14,10,10,10,3,3,1,,,halstead(v),139.7916667
human_4.py,human,Human,87.88,2.5,3,22.46,1.88,42.11,11,8,10,8,2,2,1,,,halstead€,899.2383333
human_40.py,human,Human,87.88,2.5,3,22.46,1.88,42.11,11,8,10,8,2,2,1,,,halsetad(d),3.945
human_43.py,human,Human,60.95,5.5,6,77.71,3.11,241.76,17,14,14,14,5,5,1,,,,
human_46.py,human,Human,63.71,5.5,6,66.61,3.75,249.78,11,11,11,11,5,5,1,,,,
human_49.py,human,Human,42.33,9.33,15,524.99,7.89,4144.63,53,45,45,45,9,15,2,,,,
human_52.py,human,Human,56.53,6.5,7,122.98,5.54,681.15,17,17,19,17,6,6,1,,,,
human_55.py,human,Human,67.98,3.5,4,24,1.5,36,14,10,10,10,3,3,1,,,,
human_58.py,human,Human,87.88,2.5,3,22.46,1.88,42.11,11,8,10,8,2,2,1,,,,
human_61.py,human,Human,60.95,5.5,6,77.71,3.11,241.76,17,14,14,14,5,5,1,,,,
human_64.py,human,Human,63.71,5.5,6,66.61,3.75,249.78,11,11,11,11,5,5,1,,,,
human_67.py,human,Human,42.33,9.33,15,524.99,7.89,4144.63,53,45,45,45,9,15,2,,,,
human_7.py,human,Human,60.95,5.5,6,77.71,3.11,241.76,17,14,14,14,5,5,1,,,,
human_70.py,human,Human,56.53,6.5,7,122.98,5.54,681.15,17,17,19,17,6,6,1,,,,
human_73.py,human,Human,67.98,3.5,4,24,1.5,36,14,10,10,10,3,3,1,,,,
human_76.py,human,Human,87.88,2.5,3,22.46,1.88,42.11,11,8,10,8,2,2,1,,,,
human_79.py,human,Human,60.95,5.5,6,77.71,3.11,241.76,17,14,14,14,5,5,1,,,,
human_82.py,human,Human,63.71,5.5,6,66.61,3.75,249.78,11,11,11,11,5,5,1,,,,
human_85.py,human,Human,42.33,9.33,15,524.99,7.89,4144.63,53,45,45,45,9,15,2,,,,
human_88.py,human,Human,56.53,6.5,7,122.98,5.54,681.15,17,17,19,17,6,6,1,,,,
