file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions,,,
chatgpt_0.py,chatgpt,Human,100,1,1,0,0,0,3,2,2,2,1,1,1,,,
chatgpt_1.py,chatgpt,Human,100,7,7,0,0,0,13,13,13,13,7,7,1,,,
chatgpt_10.py,chatgpt,Human,100,1,1,0,0,0,10,9,9,9,1,1,1,,CC,2.796780684
chatgpt_100.py,chatgpt,Human,100,3,3,0,0,0,12,9,9,9,3,3,1,,,
chatgpt_101.py,chatgpt,Human,81.01,3,3,3,1,3,5,5,5,5,3,3,1,,MI,89.02973843
chatgpt_102.py,chatgpt,Human,100,1,1,0,0,0,11,5,5,5,1,1,1,,,
chatgpt_103.py,chatgpt,Human,100,1,1,0,0,0,7,6,6,6,1,1,2,,Halstead(V),20.64891348
chatgpt_104.py,chatgpt,Human,100,5,5,0,0,0,42,21,25,21,5,5,1,,Halsted€,69.96808853
chatgpt_105.py,chatgpt,Human,66.22,1.4,2,11.61,1,11.61,21,15,15,15,1.33,2,3,,halstead(d),0.709496982
chatgpt_106.py,chatgpt,Human,51.23,15,15,312.13,10.06,3140.77,22,22,22,22,15,15,1,,,
chatgpt_107.py,chatgpt,Human,88.93,5,5,58.81,2.86,168.03,24,15,16,15,5,5,1,,LOC,11.30181087
chatgpt_108.py,chatgpt,Human,84.72,1,1,4.75,0.5,2.38,2,2,3,2,1,1,1,,,
chatgpt_109.py,chatgpt,Human,84.72,1,1,4.75,0.5,2.38,4,3,3,3,1,1,1,,,
chatgpt_11.py,chatgpt,Human,99.08,4,4,4.75,0.5,2.38,21,11,12,11,4,4,1,,,
chatgpt_110.py,chatgpt,Human,100,3,3,4.75,0.5,2.38,10,6,8,6,3,3,1,,,
chatgpt_111.py,chatgpt,Human,100,1.5,2,0,0,0,16,8,10,8,1.5,2,2,,,
chatgpt_112.py,chatgpt,Human,75.54,4,4,2,0.5,1,11,10,10,10,4,4,1,,,
chatgpt_113.py,chatgpt,Human,80.86,8,8,31.02,0.8,24.82,34,13,14,13,8,8,1,,,
chatgpt_114.py,chatgpt,Human,64.35,6,6,11.61,1,11.61,19,18,18,18,6,6,1,,,
chatgpt_115.py,chatgpt,Human,68.32,5,5,4.75,0.5,2.38,17,16,16,16,5,5,1,,,
chatgpt_116.py,chatgpt,Human,100,4,4,0,0,0,13,9,10,9,4,4,1,,,
chatgpt_117.py,chatgpt,Human,100,1,1,0,0,0,6,5,5,5,1,1,1,,,
chatgpt_118.py,chatgpt,Human,61.27,7,7,54,0.86,46.29,15,15,15,15,7,7,1,,,
chatgpt_119.py,chatgpt,Human,100,1,1,0,0,0,9,8,7,8,1,1,1,,,
chatgpt_12.py,chatgpt,Human,75.42,1,1,4.75,0.5,2.38,8,8,8,8,2,3,2,,,
chatgpt_120.py,chatgpt,Human,100,1,1,0,0,0,10,2,3,2,1,1,1,,,
chatgpt_121.py,chatgpt,Human,100,1,1,0,0,0,5,2,2,2,1,1,1,,,
chatgpt_122.py,chatgpt,Human,81.59,4,4,4.75,0.5,2.38,4,4,4,4,4,4,1,,,
chatgpt_123.py,chatgpt,Human,73.18,2,2,4.75,0.5,2.38,12,10,10,10,2,2,1,,,
chatgpt_124.py,chatgpt,Human,74.08,2,2,2,0.5,1,14,12,12,12,2,2,1,,,
chatgpt_125.py,chatgpt,Human,100,2,2,4.75,0.5,2.38,6,5,5,5,2,2,1,,,
chatgpt_126.py,chatgpt,Human,70.29,5,5,4.75,0.5,2.38,19,13,13,13,5,5,1,,,
chatgpt_127.py,chatgpt,Human,100,2,2,4.75,0.5,2.38,19,10,11,10,2,2,1,,,
chatgpt_128.py,chatgpt,Human,100,1,1,0,0,0,8,2,2,2,1,1,1,,,
chatgpt_129.py,chatgpt,Human,100,2.5,4,0,0,0,16,13,13,13,2,3,2,,,
chatgpt_13.py,chatgpt,Human,71.38,6,6,47.55,1.43,67.93,23,21,21,21,6,6,1,,,
chatgpt_130.py,chatgpt,Human,100,1,1,2,0.5,1,10,5,5,5,1,1,1,,,
chatgpt_131.py,chatgpt,Human,81.26,5,5,24,1.5,36,15,13,13,13,5,5,1,,,
chatgpt_132.py,chatgpt,Human,100,1,1,0,0,0,17,5,6,5,1,1,1,,,
chatgpt_133.py,chatgpt,Human,70.1,4,4,24,1.5,36,7,7,8,7,4,4,1,,,
chatgpt_134.py,chatgpt,Human,73.77,5,5,4.75,0.5,2.38,8,8,9,8,5,5,1,,,
chatgpt_135.py,chatgpt,Human,65.3,5,5,55.51,3.12,173.46,10,10,10,10,5,5,1,,,
chatgpt_136.py,chatgpt,Human,100,3,3,0,0,0,7,7,7,7,3,3,1,,,
chatgpt_137.py,chatgpt,Human,100,1,1,0,0,0,6,2,3,2,1,1,1,,,
chatgpt_138.py,chatgpt,Human,100,1,1,0,0,0,4,3,3,3,1,1,1,,,
chatgpt_139.py,chatgpt,Human,100,4,4,0,0,0,17,13,13,13,4,4,1,,,
chatgpt_14.py,chatgpt,Human,100,1,1,0,0,0,11,4,5,4,1,1,1,,,
chatgpt_140.py,chatgpt,Human,79.32,1,1,2,0.5,1,7,7,7,7,1.5,2,2,,,
chatgpt_141.py,chatgpt,Human,79.74,2,2,4.75,0.5,2.38,5,5,5,5,2,2,1,,,
chatgpt_142.py,chatgpt,Human,96.97,2,2,10,1.5,15,28,14,14,14,2,2,1,,,
chatgpt_143.py,chatgpt,Human,66.01,1,1,39,2.4,93.6,11,11,11,11,2.5,4,2,,,
chatgpt_144.py,chatgpt,Human,100,2,2,0,0,0,11,10,10,10,2,2,1,,,
chatgpt_145.py,chatgpt,Human,52.65,14,14,383.1,6.53,2502.91,20,20,18,20,14,14,1,,,
chatgpt_146.py,chatgpt,Human,100,2,2,0,0,0,7,4,5,4,2,2,1,,,
chatgpt_147.py,chatgpt,Human,100,1,1,0,0,0,2,2,2,2,1,1,1,,,
chatgpt_148.py,chatgpt,Human,100,2,2,0,0,0,16,14,14,14,2,2,1,,,
chatgpt_149.py,chatgpt,Human,100,2,2,0,0,0,4,3,3,3,2,2,1,,,
chatgpt_15.py,chatgpt,Human,100,1,1,0,0,0,13,7,7,7,1,1,1,,,
chatgpt_150.py,chatgpt,Human,60.1,5,5,41.51,2.29,94.89,23,19,19,19,4.5,5,2,,,
chatgpt_151.py,chatgpt,Human,95.43,3,3,23.26,1.5,34.9,13,5,6,5,3,3,1,,,
chatgpt_152.py,chatgpt,Human,96.89,5,5,4.75,0.5,2.38,22,14,16,14,5,5,1,,,
chatgpt_153.py,chatgpt,Human,100,1,1,0,0,0,2,2,2,2,1,1,1,,,
chatgpt_154.py,chatgpt,Human,100,1,1,0,0,0,4,3,3,3,1,1,1,,,
chatgpt_155.py,chatgpt,Human,100,4,4,11.61,1,11.61,13,7,8,7,4,4,1,,,
chatgpt_156.py,chatgpt,Human,100,2,2,4.75,0.5,2.38,14,7,7,7,2,2,1,,,
chatgpt_157.py,chatgpt,Human,100,3,3,0,0,0,8,7,7,7,3,3,1,,,
chatgpt_158.py,chatgpt,Human,100,1,1,4.75,0.5,2.38,8,5,6,5,1,1,1,,,
chatgpt_159.py,chatgpt,Human,71.07,5,5,25.27,1.2,30.32,7,7,7,7,5,5,1,,,
chatgpt_16.py,chatgpt,Human,100,1,1,0,0,0,10,9,6,9,1,1,1,,,
chatgpt_160.py,chatgpt,Human,92.1,2.33,3,11.61,1,11.61,17,13,13,13,2,3,2,,,
chatgpt_161.py,chatgpt,Human,100,1,1,0,0,0,6,5,5,5,1,1,1,,,
chatgpt_162.py,chatgpt,Human,100,1,1,0,0,0,4,3,3,3,1,1,1,,,
chatgpt_163.py,chatgpt,Human,100,2,2,0,0,0,24,15,15,15,2,2,1,,,
chatgpt_164.py,chatgpt,Human,100,1,1,0,0,0,5,4,4,4,1,1,1,,,
chatgpt_165.py,chatgpt,Human,100,1,1,0,0,0,9,4,4,4,1,1,1,,,
chatgpt_166.py,chatgpt,Human,100,1,1,0,0,0,27,27,4,27,1,1,1,,,
chatgpt_167.py,chatgpt,Human,99.53,2,2,31.02,4,124.08,9,6,6,6,1,1,1,,,
chatgpt_168.py,chatgpt,Human,59.49,5,5,71.7,2.17,155.35,17,16,17,16,5,5,1,,,
chatgpt_169.py,chatgpt,Human,100,4,4,0,0,0,11,10,10,10,4,4,1,,,
chatgpt_17.py,chatgpt,Human,100,2,2,0,0,0,7,6,6,6,2,2,1,,,
chatgpt_170.py,chatgpt,Human,100,1,1,0,0,0,5,4,4,4,1,1,1,,,
chatgpt_171.py,chatgpt,Human,80.65,2,2,2,0.5,1,6,6,6,6,2,2,1,,,
chatgpt_172.py,chatgpt,Human,100,3,3,0,0,0,5,5,5,5,3,3,1,,,
chatgpt_173.py,chatgpt,Human,78.66,1,1,34.87,1,34.87,2,2,3,2,1,1,1,,,
chatgpt_174.py,chatgpt,Human,74.64,4,4,2,0.5,1,12,11,11,11,4,4,1,,,
chatgpt_175.py,chatgpt,Human,100,1,1,0,0,0,3,2,2,2,1,1,1,,,
chatgpt_176.py,chatgpt,Human,63.39,3,3,39.86,1.71,68.34,13,12,14,12,3,3,1,,,
chatgpt_177.py,chatgpt,Human,100,3,3,0,0,0,5,5,5,5,3,3,1,,,
chatgpt_178.py,chatgpt,Human,97.99,4,4,12,0.67,8,19,11,11,11,4,4,1,,,
chatgpt_179.py,chatgpt,Human,100,2.33,3,0,0,0,17,15,15,15,2,3,2,,,
chatgpt_18.py,chatgpt,Human,100,1,1,0,0,0,2,2,2,2,1,1,1,,,
chatgpt_180.py,chatgpt,Human,80.42,10,10,160.47,3.83,615.15,31,22,23,22,10,10,1,,,
chatgpt_181.py,chatgpt,Human,100,1,1,0,0,0,18,14,5,14,1,1,1,,,
chatgpt_182.py,chatgpt,Human,71.16,6,6,15.51,1,15.51,7,7,8,7,6,6,1,,,
chatgpt_183.py,chatgpt,Human,100,3,3,4.75,0.5,2.38,13,6,6,6,3,3,1,,,
chatgpt_184.py,chatgpt,Human,100,4,4,0,0,0,11,10,10,10,4,4,1,,,
chatgpt_185.py,chatgpt,Human,81.19,4,4,4.75,0.5,2.38,35,25,23,25,4,4,1,,,
chatgpt_186.py,chatgpt,Human,90.79,3,3,15.51,1,15.51,17,13,14,13,3,3,1,,,
chatgpt_188.py,chatgpt,Human,75.02,4,4,41.21,1.29,52.98,4,4,4,4,4,4,1,,,
chatgpt_189.py,chatgpt,Human,100,1,1,0,0,0,7,2,3,2,1,1,1,,,
chatgpt_19.py,chatgpt,Human,71.09,4,4,12,0.67,8,9,9,9,9,4,4,1,,,
chatgpt_190.py,chatgpt,Human,100,2,2,9.51,0.75,7.13,9,5,7,5,2,2,1,,,
chatgpt_191.py,chatgpt,Human,100,1,1,0,0,0,4,3,3,3,1,1,1,,,
chatgpt_192.py,chatgpt,Human,100,1,1,0,0,0,24,8,9,8,1,1,1,,,
