file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions,,,
human_0.py,human,Human,100,2,2,0,0,0,5,5,5,5,2,2,1,,,
human_1.py,human,Human,60.51,6,6,89.92,2.15,193.68,15,15,14,15,6,6,1,,,
human_10.py,human,Human,100,1,1,0,0,0,5,5,4,5,1,1,1,,MI,83.48886
human_100.py,human,Human,100,2,2,0,0,0,6,6,6,6,2,2,1,,,
human_101.py,human,Human,81.01,3,3,3,1,3,5,5,5,5,3,3,1,,CC,4.38
human_102.py,human,Human,81.64,9,9,15.51,1,15.51,32,27,28,27,9,9,1,,,
human_103.py,human,Human,100,1,1,0,0,0,28,17,14,17,1.5,2,2,,LOC,16.042
human_104.py,human,Human,100,4,4,0,0,0,10,10,10,10,4,4,1,,,
human_105.py,human,Human,55.82,3,3,135.93,2.8,380.61,25,25,21,25,3,3,1,,Halstead(V),44.84408
human_106.py,human,Human,78.8,12,12,284.6,9,2561.4,41,36,24,36,12,12,1,,Halstead(E):,226.87136
human_107.py,human,Human,84.49,2,2,2,0.5,1,5,5,4,5,2,2,1,,Halstead(D):,1.21506
human_108.py,human,Human,76.55,2,2,4.75,0.5,2.38,7,7,7,7,2,2,1,,,
human_109.py,human,Human,81.73,3,3,11.61,1,11.61,5,4,3,4,3,3,1,,,
human_11.py,human,Human,100,2,2,0,0,0,12,12,4,12,2,2,1,,,
human_110.py,human,Human,72.42,16,16,9.51,1,9.51,62,56,56,56,16,16,1,,,
human_111.py,human,Human,100,1,1,0,0,0,25,24,5,24,1,1,1,,,
human_112.py,human,Human,80.38,3,3,18.09,1,18.09,3,3,3,3,3,3,1,,,
human_113.py,human,Human,100,7,7,0,0,0,14,12,12,12,7,7,1,,,
human_114.py,human,Human,87.16,7,7,27,1,27,26,20,20,20,7,7,1,,,
human_115.py,human,Human,98.85,4,4,15.51,1,15.51,9,7,7,7,4,4,1,,,
human_116.py,human,Human,100,2,2,0,0,0,52,50,9,43,2,2,1,,,
human_117.py,human,Human,81.86,2,2,4.75,0.5,2.38,4,4,4,4,2,2,1,,,
human_118.py,human,Human,80.18,8,8,78.14,2.36,184.69,18,18,18,18,8,8,1,,,
human_119.py,human,Human,100,1,1,0,0,0,3,3,3,3,1,1,1,,,
human_12.py,human,Human,87.56,1,1,55.51,1.5,83.26,46,30,22,30,5,9,2,,,
human_120.py,human,Human,79.28,3,3,3,1,3,6,6,6,6,3,3,1,,,
human_121.py,human,Human,56.7,7,7,73.57,2.5,183.94,45,45,22,45,7,7,1,,,
human_122.py,human,Human,77.88,3,3,4.75,0.5,2.38,6,6,6,6,3,3,1,,,
human_123.py,human,Human,93.55,5,5,2,0.5,1,16,14,13,14,5,5,1,,,
human_124.py,human,Human,100,3,3,0,0,0,10,10,9,10,3,3,1,,,
human_125.py,human,Human,79.05,3,3,2,0.5,1,7,7,7,7,3,3,1,,,
human_126.py,human,Human,74.34,5,5,13.93,1.33,18.58,6,6,6,6,5,5,1,,,
human_127.py,human,Human,60.5,8,8,66.57,0.88,58.25,16,16,15,16,8,8,1,,,
human_128.py,human,Human,88.56,1,1,4.75,0.5,2.38,2,2,2,2,1,1,1,,,
human_129.py,human,Human,100,2,2,0,0,0,8,8,8,8,2,2,1,,,
human_13.py,human,Human,68.5,3,3,12,0.67,8,12,12,12,12,3,3,1,,,
human_130.py,human,Human,83.92,3,3,51.81,2,103.61,28,24,18,24,3,3,1,,,
human_131.py,human,Human,57.38,9,9,62.27,2.25,140.11,21,21,21,21,9,9,1,,,
human_132.py,human,Human,75.67,3,3,2,0.5,1,10,10,10,10,3,3,1,,,
human_133.py,human,Human,90.05,4,4,30,1.8,54,8,7,8,7,4,4,1,,,
human_134.py,human,Human,70.91,6,6,4.75,0.5,2.38,10,10,12,10,6,6,1,,,
human_135.py,human,Human,70.71,1,1,15.51,1,15.51,11,11,9,11,1.5,2,2,,,
human_136.py,human,Human,100,2,2,0,0,0,4,4,4,4,2,2,1,,,
human_137.py,human,Human,100,1,1,0,0,0,3,3,3,3,1,1,1,,,
human_138.py,human,Human,85.15,2,2,13.93,1.33,18.58,5,5,2,5,2,2,1,,,
human_139.py,human,Human,69.55,4,4,6.34,0.5,3.17,13,13,13,13,4,4,1,,,
human_14.py,human,Human,100,1,1,0,0,0,4,4,4,4,1,1,1,,,
human_140.py,human,Human,68.73,1,1,43.02,2,86.04,8,7,8,7,2,3,2,,,
human_141.py,human,Human,100,2,2,0,0,0,5,5,5,5,2,2,1,,,
human_142.py,human,Human,100,2,2,0,0,0,12,12,12,12,2,2,1,,,
human_143.py,human,Human,100,1,1,0,0,0,8,7,8,7,1,1,2,,,
human_144.py,human,Human,100,2,2,0,0,0,5,5,5,5,2,2,1,,,
human_145.py,human,Human,74.24,25,25,220,3.23,710.77,37,29,29,29,24,24,1,,,
human_146.py,human,Human,100,2,2,0,0,0,21,21,12,21,2,2,1,,,
