file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions
0.py,files,Human,80.3,10.0,10,50.19,3.21,161.32,63,25,26,25,10.0,10,1
1.py,files,Human,83.05,10.0,10,114.2,4.25,485.35,40,16,17,16,10.0,10,1
10.py,files,Human,87.11,7.0,7,185.44,1.04,192.86,33,23,12,23,7.0,7,1
100.py,files,Human,94.18,1.0,1,4.75,0.5,2.38,44,23,24,23,1.0,1,6
101.py,files,Human,100.0,2.0,2,0,0,0,13,3,5,3,2.0,2,1
102.py,files,Human,100.0,1.0,1,0,0,0,13,3,5,3,1.0,1,1
103.py,files,Human,66.98,3.0,3,13.93,1.33,18.58,20,5,5,5,2.0,2,1
104.py,files,Human,88.52,1.0,1,11.61,1.0,11.61,14,5,7,5,1.5,2,2
105.py,files,Human,100.0,1.0,1,0,0,0,12,3,6,3,1.0,1,1
106.py,files,Human,99.22,3.0,3,4.75,0.5,2.38,21,11,12,11,3.0,3,1
107.py,files,Human,86.99,5.0,5,50.19,2.25,112.93,41,21,21,21,2.67,5,3
108.py,files,Human,89.21,4.0,4,34.87,2.8,97.63,26,10,12,10,3.0,4,2
109.py,files,Human,89.7,1.0,1,15.51,1.0,15.51,19,6,7,6,1.5,2,2
11.py,files,Human,100.0,2.0,2,0,0,0,11,3,4,3,2.0,2,1
110.py,files,Human,100.0,1.0,1,0,0,0,17,8,5,8,1.0,1,1
111.py,files,Human,100.0,2.0,2,0,0,0,14,5,6,5,2.0,2,1
112.py,files,Human,53.33,2.0,2,15.51,1.0,15.51,25,5,8,5,2.0,2,1
113.py,files,Human,100.0,1.0,1,0,0,0,8,3,4,3,1.0,1,1
114.py,files,Human,100.0,2.0,2,0,0,0,13,3,5,3,2.0,2,1
115.py,files,Human,100.0,1.0,1,0,0,0,16,5,7,5,1.0,1,1
116.py,files,Human,100.0,1.0,1,0,0,0,16,5,6,5,1.0,1,1
117.py,files,Human,52.19,2.0,2,15.51,1.0,15.51,27,5,7,5,2.0,2,1
118.py,files,Human,100.0,1.0,1,0,0,0,12,4,5,4,1.0,1,1
119.py,files,Human,100.0,1.0,1,0,0,0,14,4,5,4,1.0,1,2
12.py,files,Human,69.42,4.0,4,4.75,0.5,2.38,63,18,17,18,2.0,4,3
