run_id,analysed_at,dataset,source_root,relative_path,file,folder,label,file_hash,mi,cc_avg,cc_max,functions,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,comments,blank
20260511_120008,11/05/2026 12:00,Hard,Github Copilot\Hard,flipping.py,flipping.py,Hard,Unknown,cc45cc747230,83.11,1,1,1,28.53,1.5,42.79,2,2,2,0,0
20260511_120008,11/05/2026 12:00,Hard,Github Copilot\Hard,hex.py,hex.py,Hard,Unknown,86a7e3151f8d,100,2,2,1,0,0,0,2,2,3,0,0
20260511_120008,11/05/2026 12:00,Hard,Github Copilot\Hard,karaca.py,karaca.py,Hard,Unknown,3f1328490218,100,2,2,1,11.61,1,11.61,10,5,7,3,2
20260511_120008,11/05/2026 12:00,Hard,Github Copilot\Hard,snake.py,snake.py,Hard,Unknown,3d921da4f907,86.12,1,1,1,3,1,3,4,3,3,0,1
20260511_120018,11/05/2026 12:00,Very Hard,Github Copilot\Very Hard,ad_list_sort.py,ad_list_sort.py,Very Hard,Unknown,b230c87d70ef,73.9,4,4,1,4.75,0.5,2.38,9,9,9,0,0
20260511_120018,11/05/2026 12:00,Very Hard,Github Copilot\Very Hard,atbash.py,atbash.py,Very Hard,Unknown,d7a50e5b08a1,66.44,4,4,1,39.86,1,39.86,10,10,10,0,0
20260511_120018,11/05/2026 12:00,Very Hard,Github Copilot\Very Hard,palindrome_rec.py,palindrome_rec.py,Very Hard,Unknown,ba9f1d35ec44,65.65,2.33,3,3,28.07,2.25,63.17,13,11,12,0,2
20260511_120018,11/05/2026 12:00,Very Hard,Github Copilot\Very Hard,prime_factor.py,prime_factor.py,Very Hard,Unknown,02bf445a3688,80.47,5,5,1,117.21,8.75,1025.56,16,14,14,2,0
20260511_120028,11/05/2026 12:00,Expert,Github Copilot\Expert,bst.py,bst.py,Expert,Unknown,a0c43319a1d7,56.8,3,4,4,49.83,2.14,106.78,26,24,24,0,2
20260511_120028,11/05/2026 12:00,Expert,Github Copilot\Expert,hash_juggle.py,hash_juggle.py,Expert,Unknown,35f3e252c247,71.87,3,5,2,4.75,0.5,2.38,13,11,11,0,2
20260511_120028,11/05/2026 12:00,Expert,Github Copilot\Expert,keyword_cipher.py,keyword_cipher.py,Expert,Unknown,85e614068ef9,75.59,10,10,1,68.53,3.33,228.44,30,23,24,3,4
20260511_120028,11/05/2026 12:00,Expert,Github Copilot\Expert,lvl_ord_trav.py,lvl_ord_trav.py,Expert,Unknown,47e21fedad73,52.16,3,5,7,47.55,1.43,67.93,41,37,37,0,4
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Average MI,67.635,,,,,,,,,,,
,,,,,,,,Average CC,3,,,,,,,,,,,
,,,,,,,,Average LOC,21.5,,,,,,,,,,,
,,,,,,,,Average Halstead(V): ,38.04,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,256.42,,14,,170.66,,,110,,,,
